column_value,precision,recall,fbeta
workclass_Private,0.7847919655667145,0.5508559919436052,0.6473372781065089
workclass_Self-emp-inc,0.8161764705882353,0.7708333333333334,0.7928571428571429
workclass_Local-gov,0.7019230769230769,0.5887096774193549,0.6403508771929826
workclass_Self-emp-not-inc,0.7938144329896907,0.5620437956204379,0.658119658119658
workclass_?,0.7,0.21875,0.3333333333333333
workclass_Federal-gov,0.7962962962962963,0.6417910447761194,0.7107438016528925
workclass_State-gov,0.7662337662337663,0.7468354430379747,0.7564102564102563
workclass_Without-pay,1.0,1.0,1.0
workclass_Never-worked,1.0,1.0,1.0
education_Some-college,0.7547169811320755,0.41522491349480967,0.5357142857142857
education_HS-grad,0.794392523364486,0.25757575757575757,0.3890160183066361
education_Masters,0.8118811881188119,0.8282828282828283,0.8200000000000001
education_Assoc-voc,0.65625,0.3442622950819672,0.4516129032258065
education_Bachelors,0.7525354969574036,0.8226164079822617,0.7860169491525423
education_10th,1.0,0.0,0.0
education_9th,1.0,0.14285714285714285,0.25
education_Doctorate,0.864406779661017,0.85,0.8571428571428572
education_7th-8th,1.0,0.0,0.0
education_Assoc-acdm,0.75,0.42857142857142855,0.5454545454545454
education_Prof-school,0.891566265060241,0.891566265060241,0.891566265060241
education_11th,1.0,0.4444444444444444,0.6153846153846153
education_1st-4th,1.0,0.0,0.0
education_12th,0.5,0.2,0.28571428571428575
education_5th-6th,1.0,0.25,0.4
education_Preschool,1.0,1.0,1.0
marital-status_Married-civ-spouse,0.7678410117434508,0.6296296296296297,0.6919006919006919
marital-status_Divorced,0.9583333333333334,0.26136363636363635,0.41071428571428575
marital-status_Never-married,1.0,0.3404255319148936,0.5079365079365079
marital-status_Separated,1.0,0.3125,0.47619047619047616
marital-status_Widowed,1.0,0.2222222222222222,0.3636363636363636
marital-status_Married-spouse-absent,1.0,0.3,0.4615384615384615
marital-status_Married-AF-spouse,1.0,1.0,1.0
occupation_Craft-repair,0.7837837837837838,0.2857142857142857,0.4187725631768954
occupation_Farming-fishing,0.9,0.34615384615384615,0.5
occupation_Sales,0.8169014084507042,0.5550239234449761,0.6609686609686609
occupation_Prof-specialty,0.7780748663101604,0.8128491620111732,0.7950819672131149
occupation_Exec-managerial,0.770573566084788,0.8089005235602095,0.789272030651341
occupation_Tech-support,0.8484848484848485,0.4745762711864407,0.6086956521739131
occupation_Other-service,1.0,0.06451612903225806,0.12121212121212122
occupation_Adm-clerical,0.7571428571428571,0.4690265486725664,0.5792349726775956
occupation_Transport-moving,0.8333333333333334,0.23076923076923078,0.3614457831325301
occupation_Handlers-cleaners,0.6,0.2727272727272727,0.37499999999999994
occupation_Machine-op-inspct,0.7647058823529411,0.25,0.37681159420289856
occupation_Priv-house-serv,1.0,1.0,1.0
occupation_?,0.7,0.21875,0.3333333333333333
occupation_Protective-serv,0.6666666666666666,0.35294117647058826,0.46153846153846156
occupation_Armed-Forces,1.0,1.0,1.0
relationship_Husband,0.7642998027613412,0.6485355648535565,0.7016749660479855
relationship_Unmarried,1.0,0.23255813953488372,0.37735849056603776
relationship_Not-in-family,0.9818181818181818,0.3050847457627119,0.4655172413793104
relationship_Own-child,1.0,0.4444444444444444,0.6153846153846153
relationship_Wife,0.8043478260869565,0.5034013605442177,0.6192468619246861
relationship_Other-relative,1.0,0.0,0.0
race_White,0.7868396663577386,0.5879501385041551,0.6730083234244946
race_Asian-Pac-Islander,0.7272727272727273,0.6896551724137931,0.7079646017699116
race_Amer-Indian-Eskimo,0.5,0.3333333333333333,0.4
race_Black,0.7297297297297297,0.38028169014084506,0.5
race_Other,0.0,1.0,0.0
sex_Male,0.7729422894985809,0.6092468307233407,0.6814011676396997
sex_Female,0.847457627118644,0.425531914893617,0.56657223796034
native-country_United-States,0.7836812144212524,0.5732130464954892,0.662124248496994
native-country_India,0.5555555555555556,1.0,0.7142857142857143
native-country_Mexico,0.6,0.375,0.4615384615384615
native-country_Ireland,1.0,1.0,1.0
native-country_Italy,1.0,0.3333333333333333,0.5
native-country_Canada,1.0,0.6666666666666666,0.8
native-country_Columbia,1.0,0.0,0.0
native-country_Cuba,1.0,0.5,0.6666666666666666
native-country_?,0.8235294117647058,0.7,0.7567567567567567
native-country_El-Salvador,1.0,1.0,1.0
native-country_Germany,0.8571428571428571,0.5454545454545454,0.6666666666666665
native-country_Jamaica,1.0,0.3333333333333333,0.5
native-country_Iran,0.6,0.75,0.6666666666666665
native-country_Philippines,0.8888888888888888,0.6666666666666666,0.761904761904762
native-country_Nicaragua,1.0,1.0,1.0
native-country_Yugoslavia,0.5,1.0,0.6666666666666666
native-country_Laos,1.0,1.0,1.0
native-country_Japan,0.6,0.75,0.6666666666666665
native-country_Puerto-Rico,1.0,1.0,1.0
native-country_Portugal,1.0,1.0,1.0
native-country_England,0.7142857142857143,0.8333333333333334,0.7692307692307692
native-country_Cambodia,1.0,1.0,1.0
